,uuid,title,publisher,link,providerPublishTime,type,thumbnail,relatedTickers
0,1e7bdb27-8a13-3a38-98f5-abf0754da451,Netflix Gains on Rave Reviews for Password Crackdown and Sports Livestream Hopes,Barrons.com,https://finance.yahoo.com/m/1e7bdb27-8a13-3a38-98f5-abf0754da451/netflix-gains-on-rave-reviews.html,1686690720,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/tnsOPO3ZSymD.u1AOYaQ5w--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/64f7dd93af47ad336802f172c59b138c', 'width': 1280, 'height': 640, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/w7H2DHK_rHNEhtvBWKsFYA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/64f7dd93af47ad336802f172c59b138c', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NFLX']
1,c3c0bdfe-9de6-335a-8950-0e95692822db,Netflix Stock Continues Climb On Positive Sentiment For Video Streamer,Investor's Business Daily,https://finance.yahoo.com/m/c3c0bdfe-9de6-335a-8950-0e95692822db/netflix-stock-continues-climb.html,1686687313,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/jmQ5xXmulDafIuZfSEgRFg--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/b93472c4efceb53afc1ebb0d78de7b0d', 'width': 1000, 'height': 563, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/fJoNw1sL7mZh5SEhhlN9cQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/b93472c4efceb53afc1ebb0d78de7b0d', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NFLX']
2,900f93eb-f258-3781-84f5-284cb1b64cee,Shonda Rhimes' Net Worth—Here's How Much The 'Queen Charlotte' Creator Earns,Investopedia,https://finance.yahoo.com/m/900f93eb-f258-3781-84f5-284cb1b64cee/shonda-rhimes%27-net.html,1686682864,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/PRb_7CQtU5YL.FNtNeg4iw--~B/aD0zNzYxO3c9NTQxMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/investopedia.com/f8a1bceca20a618b37669f62a66f7f26', 'width': 5410, 'height': 3761, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/N6Bkgx_xNlt_lrPOxI.4lA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/investopedia.com/f8a1bceca20a618b37669f62a66f7f26', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NFLX']
3,6195800a-ee4e-36d2-b6b0-74a29ed87729,"Rebel's Edge - June 13: $NFLX, $PLAY, $ORCL, and MLB Payroll",TheStreet.com,https://finance.yahoo.com/m/6195800a-ee4e-36d2-b6b0-74a29ed87729/rebel%27s-edge-june-13%3A.html,1686678960,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/4baM8TxnKWD7XxBPhIp8sA--~B/aD03MjA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/thestreet.com/da60574d93c417ef3ef578a2668bff1e', 'width': 1280, 'height': 720, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/qZfvT2ORcK3PCjLnnlsiwA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/thestreet.com/da60574d93c417ef3ef578a2668bff1e', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['NFLX', 'ORCL']"
4,55e39084-99cf-3915-b25b-7c74d15c09f1,"Netflix Is Finally Trying What Amazon, Apple Are Doing With This Major Move",TheStreet.com,https://finance.yahoo.com/m/55e39084-99cf-3915-b25b-7c74d15c09f1/netflix-is-finally-trying.html,1686672840,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/nv6gSoEQq_2s8IEQ4m.5eg--~B/aD0xMDgwO3c9MTkyMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thestreet.com/9d2edb012ffec56d47f0c6f693a6041c', 'width': 1920, 'height': 1080, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/w57GIYnLGU4o.lyfMPx5yg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/thestreet.com/9d2edb012ffec56d47f0c6f693a6041c', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['NFLX', 'AMZN']"
5,dbc64069-116c-3218-bb42-828e9498f05e,"FTC Sues To Block Microsoft-Activision Blizzard Deal, Netflix's First Sports Streaming Debut, EU Mulls Antitrust Case Against Google's Ad-Tech Business: Today's Top Stories",Benzinga,https://finance.yahoo.com/news/ftc-sues-block-microsoft-activision-160210660.html,1686672130,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/AcaRFXhYg7feEGuS._56Kg--~B/aD02NzU7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Benzinga/497e55c909dfc49e7c0e5762176db530', 'width': 1200, 'height': 675, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/FUX7f.2kUTC0OAUMjIw2OQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Benzinga/497e55c909dfc49e7c0e5762176db530', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['MSFT', 'GOOGL', 'NFLX', 'ATVI', 'SFTBY']"
6,f26e1053-5e4a-4971-adec-18115d717bb5,Netflix stock climbs higher on bullish Wall Street sentiment: 'Poised to outperform',Yahoo Finance,https://finance.yahoo.com/news/netflix-stock-climbs-higher-on-bullish-wall-street-sentiment-poised-to-outperform-152525378.html,1686669925,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/uev5xRWUBPGUE7jI4NFy3g--~B/aD00MDAwO3c9NjAwMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2022-05/d8f49170-d51c-11ec-b763-fc1244449d42', 'width': 6000, 'height': 4000, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/s2N5Nj2hugYoxeKo8YGU6A--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://s.yimg.com/os/creatr-uploaded-images/2022-05/d8f49170-d51c-11ec-b763-fc1244449d42', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['NFLX']
7,b00c5df5-4c35-3906-8700-114f896e2207,3 Unstoppable Growth Stocks to Buy and Hold Forever,Motley Fool,https://finance.yahoo.com/m/b00c5df5-4c35-3906-8700-114f896e2207/3-unstoppable-growth-stocks.html,1686657600,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/XElTtLc8.4e_H5MUsYajMA--~B/aD0xNDE0O3c9MjEyMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/1a13ec973cd6be72c4133298e8ad110b', 'width': 2120, 'height': 1414, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/lEKeqaNJqtkH7zlrswI.YA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/1a13ec973cd6be72c4133298e8ad110b', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['ADBE', 'NFLX', 'OKTA']"
8,464e879c-381e-3bf7-8953-1886f090a41a,Dow Jones Rallies On Cool CPI Inflation Data; Cathie Wood Sells $92 Million Of Tesla Stock,Investor's Business Daily,https://finance.yahoo.com/m/464e879c-381e-3bf7-8953-1886f090a41a/dow-jones-rallies-on-cool-cpi.html,1686665741,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/WAuaz6qrZ4OYu_AuKxC0vQ--~B/aD02MDA7dz0xMDY1O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/f84dddde254e978a0083114ec56c1e2b', 'width': 1065, 'height': 600, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/IVbsawCKXte9EBfO391xMQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/f84dddde254e978a0083114ec56c1e2b', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['^DJI', 'FND', 'TSLA', 'COMP', 'FTNT', 'MSFT', 'CSCO', 'DXCM']"
9,866184cb-aca9-3d50-87e5-ad666294e9fa,"Dow Jones Futures: Nasdaq Hits 2023 High; Inflation Data, Fed Meeting Loom; Tesla Extends Win Streak",Investor's Business Daily,https://finance.yahoo.com/m/866184cb-aca9-3d50-87e5-ad666294e9fa/dow-jones-futures%3A-nasdaq.html,1686657881,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/K8v2jS0MzMr3zuKofsVDGg--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/7c6858008c0a76e3a22480b6718a69bb', 'width': 1000, 'height': 563, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/2xPNGr0qf.njeyeMc_.d.A--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/7c6858008c0a76e3a22480b6718a69bb', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['^DJI', 'TSLA', '^GSPC', 'COMP', 'CSCO', 'FND']"
10,06dec6a9-65f3-3f56-9ef1-f3b3fa9b6f2c,"Is Cisco Stock A Buy Amid Debate Over Acquisitions, Capital Returns?",Investor's Business Daily,https://finance.yahoo.com/m/06dec6a9-65f3-3f56-9ef1-f3b3fa9b6f2c/is-cisco-stock-a-buy-amid.html,1686576602,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/8ueURzXCAP5cw3Ctn1lNNA--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/f9da0ee8d66bf7e235c12c60db53d512', 'width': 1000, 'height': 563, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/Eu0nqzk8ACpooCyfnIMPHQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/f9da0ee8d66bf7e235c12c60db53d512', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['CSCO']
11,59ee3fbc-abe5-3b84-bcf7-612b5d3148da,People Behind Purpose at Cisco: How a Life-Long Love for Animals Led to a Career in Sustainability,ACCESSWIRE,https://finance.yahoo.com/news/people-behind-purpose-cisco-life-133000482.html,1686576600,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/YXpXqmrhWp_Y3uyBeI4wSA--~B/aD00MDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/accesswire.ca/27feafa39e002c217b47b24dea0dcb23', 'width': 400, 'height': 400, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/u3PDCR9xQvzyjnu3zHr6Fw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/accesswire.ca/27feafa39e002c217b47b24dea0dcb23', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['CSCO']
12,a6b00112-21d6-3137-bc5d-8ffff4baffe0,Is Zoom A Buy Amid AI Software Race In Workplace Collaboration?,Investor's Business Daily,https://finance.yahoo.com/m/a6b00112-21d6-3137-bc5d-8ffff4baffe0/is-zoom-a-buy-amid-ai.html,1686573149,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/ljpYMs8.pqvpyfooz_FLpg--~B/aD02MDA7dz0xMDY1O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/2695fa0b5354830a9e483f4d686e74a4', 'width': 1065, 'height': 600, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/vsuisiTpFncezaGRF3NsSA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/2695fa0b5354830a9e483f4d686e74a4', 'width': 140, 'height': 140, 'tag': '140x140'}]}","['ZM', 'CSCO']"
13,094827c6-ee62-39e0-b274-8dda30742dca,"Cisco Systems, Inc. (NASDAQ:CSCO) is largely controlled by institutional shareholders who own 75% of the company",Simply Wall St.,https://finance.yahoo.com/news/cisco-systems-inc-nasdaq-csco-120019109.html,1686571219,STORY,"{'resolutions': [{'url': 'https://s.yimg.com/uu/api/res/1.2/.cRVEDZ9Eus7ikZIr02FDQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/830f0f02ea9f3a021d89e3f4244202e7', 'width': 1194, 'height': 432, 'tag': 'original'}, {'url': 'https://s.yimg.com/uu/api/res/1.2/RlYRdib4Gwl1K2YKw9GtDw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/830f0f02ea9f3a021d89e3f4244202e7', 'width': 140, 'height': 140, 'tag': '140x140'}]}",['CSCO']
